Country,Women
Algeria (more info),28.2
Angola,21.4
Benin,18.7
Botswana,26.4
Burkina Faso,17.9
Burundi,20.3
Cape Verde,21.5
Cameroon (more info),19
Central African Republic,17.3
Chad,18.8
Comoros,20.4
Congo,21
Ivory Coast,19.5
DR Congo,19
Djibouti,26.9
Egypt (more info),25
Equatorial Guinea,20.5
Eritrea,20.6
Eswatini,26.5
Ethiopia,21.3
Gabon,20.4
Gambia,21.5
Ghana (more info),21.7
Guinea,19.8
Guinea-Bissau,20.9
Kenya,20.2
Lesotho,20.9
Liberia,18.9
Libya,29.2
Madagascar,18.4
Malawi,17.9
Mali,18.8
Mauritania (more info),19
Mauritius,25.4
Morocco,25.7
Mozambique,18.7
Namibia,29.2
Niger,17.2
Nigeria (more info),21.2
Rwanda,20.6
São Tomé and Príncipe,18.8
Senegal,22.2
Seychelles,25.2
Sierra Leone,23.1
Somalia,20.6
South Africa (more info),33
South Sudan,18.4
Sudan (more info),22
Tanzania,18.9
Togo,22.3
Tunisia,28.7
Uganda,18.2
Zambia,18.7
Zimbabwe,19.9
Antigua and Barbuda,25
Argentina,33.2
Bahamas,27
Barbados,31.8
Belize,28.6
Bolivia,24.1
Brazil,30
Canada (more info),29.6
Chile (more info),32.6
Colombia,22.7
Costa Rica,25.7
Cuba (more info),21.3
Ecuador,21.8
El Salvador,22.5
Grenada,31
Guatemala,21.3
Guyana,21.5
Haiti,23.7
Honduras,21.2
Jamaica,33.2
Mexico,30.5
Nicaragua,20.6
Panama,21.6
Paraguay (more info),22.7
Peru,23.5
Saint Kitts and Nevis,31.3
Saint Lucia,33.7
Saint Vincent and the Grenadines,21.2
Suriname,29.3
Trinidad and Tobago,29.2
United States (more info),28.6
Uruguay,24
Venezuela,22.7
Afghanistan (more info),15.5
Armenia,27.1
Azerbaijan,24
Bahrain,26.3
Bangladesh (more info),25
Bhutan,22.8
Brunei,25.1
Cambodia (more info),21
China (more info),24.9
Cyprus (more info),29.6
Georgia,28.1
Hong Kong,30.6
India (more info),25.3
Indonesia (more info),20
Iran (more info),23.8
Iraq,25.3
Israel (more info),28.2
Japan (more info),30
Jordan (more info),26.6
Kazakhstan,25
Kuwait,27.5
Kyrgyzstan,23.6
Laos,20.5
Lebanon,28.8
Malaysia (more info),25
Maldives,21.6
Mongolia,26
Myanmar (more info),20.5
Nepal,20.1
North Korea (more info),25.5
Oman,24.8
Pakistan (more info),23.2
Palestine,20.1
Philippines (more info),25.3
Qatar,25.4
Saudi Arabia (more info),20.4
Singapore (more info),27.9
Sri Lanka,23.4
South Korea (more info),31
Syria,26.3
Taiwan (more info),30.4
Tajikistan,22.1
Thailand,21
East Timor,20.6
Turkey (more info),25
Turkmenistan,23.3
United Arab Emirates,25.3
Uzbekistan,22.7
Vietnam (more info),22.8
Yemen,23
Albania,27.8
Austria (more info),30.8
Belarus,26.1
Belgium,30
Bosnia and Herzegovina,26.8
Bulgaria (more info),29.1
Croatia,28.9
Czech Republic (more info),29.8
Denmark,32.7
Estonia,30.4
Finland (more info),32.1
France (more info),32
Germany (more info),32.1
Greece (more info),30.1
Hungary,30.1
Iceland,32.7
Ireland (more info),34.8
Italy (more info),31.5
Latvia,30.6
Liechtenstein,31.2
Lithuania,28.3
Luxembourg,31.8
Malta,28.5
Moldova,26
Monaco,30.4
Montenegro,28
Netherlands,30.9
North Macedonia,26.9
Norway,34.1
Poland (more info),27
Portugal,32.4
Romania,28.3
Russia (more info),25.5
San Marino,30.7
Serbia,28.6
Slovakia (more info),29.4
Slovenia,30.7
Spain (more info),33.6
Sweden,33.9
Switzerland (more info),30.1
Ukraine (more info),25.9
United Kingdom (more info),31.7
Australia (more info),30.5
Fiji,24.1
Kiribati,20.1
Marshall Islands,24.2
Micronesia,25.5
Nauru,21.2
New Zealand (more info),29.4
Palau,26.6
Papua New Guinea,21.4
Samoa,24.1
Solomon Islands,20.3
Tonga,23.6
Tuvalu,22.1
Vanuatu,20.8
